=== 延迟检测日志 | 2026-03-25 14:28:59.902475 ===
[2026-03-25 14:28:59.903] [TCP预检开始] 节点总数=5147 | 并发=300
[2026-03-25 14:29:00.368] [TCP预检] ✅ 通过 | 94.183.190.73:2053 | 芬蘭
[2026-03-25 14:29:00.373] [TCP预检] ✅ 通过 | 167.68.4.199:2053 | US美国(mibei77.com 米贝节点分享) 20
[2026-03-25 14:29:00.388] [TCP预检] ✅ 通过 | 109.234.211.66:8443 | US美国(mibei77.com 米贝节点分享) 27
[2026-03-25 14:29:00.403] [TCP预检] ✅ 通过 | store.ubi.com:443 | 🇯🇵 日本 | JPN 2
[2026-03-25 14:29:00.403] [TCP预检] ✅ 通过 | 158.51.109.218:443 | 🇯🇵JP_8
[2026-03-25 14:29:00.426] [TCP预检] ✅ 通过 | malaysia01.jumperservice.com:19001 | US_434a6_0045
[2026-03-25 14:29:00.438] [TCP预检] ✅ 通过 | 202.84.53.85:12145 | 🇯🇵JP_3
[2026-03-25 14:29:00.444] [TCP预检] ✅ 通过 | 202.84.53.85:14740 | 🇯🇵JP_7
[2026-03-25 14:29:00.445] [TCP预检] ✅ 通过 | 202.84.53.85:19999 | 🇯🇵JP_4
[2026-03-25 14:29:00.450] [TCP预检] ✅ 通过 | ns.cloudflare.com:2095 | US_434a6_0041
[2026-03-25 14:29:00.458] [TCP预检] ✅ 通过 | 109.234.211.66:2087 | FR法国(mibei77.com 米贝节点分享) 11
[2026-03-25 14:29:00.459] [TCP预检] ✅ 通过 | sub.danfeng.eu.org:443 | 🇯🇵 日本 | JPN 3
[2026-03-25 14:29:00.470] [TCP预检] ✅ 通过 | www.npmjs.com:2095 | US_434a6_0037
[2026-03-25 14:29:00.512] [TCP预检] ✅ 通过 | 116.93.199.28:21510 | 🇰🇷_KR_韩国->🇰🇵_KP_朝鲜_1
[2026-03-25 14:29:00.531] [TCP预检] ✅ 通过 | vip1.kaixincloud.top:443 | US_434a6_0057
[2026-03-25 14:29:00.543] [TCP预检] ✅ 通过 | 116.93.199.28:25524 | 🇰🇷_KR_韩国->🇰🇵_KP_朝鲜_4
[2026-03-25 14:29:00.567] [TCP预检] ✅ 通过 | 104.18.32.47:2052 | 🇺🇸_US_美国_2
[2026-03-25 14:29:00.579] [TCP预检] ✅ 通过 | 211.243.73.135:30023 | 韓國節點_1
[2026-03-25 14:29:00.634] [TCP预检] ✅ 通过 | vip2.kaixincloud.top:443 | GOOGLE 02
[2026-03-25 14:29:00.654] [TCP预检] ✅ 通过 | cf.130519.xyz:443 | 🇯🇵 日本 | JPN
[2026-03-25 14:29:00.661] [TCP预检] ✅ 通过 | cf.090227.xyz:443 | 🇯🇵 日本 | JPN 6
[2026-03-25 14:29:00.810] [TCP预检] ✅ 通过 | alist.sm.uy:443 | GOOGLE 04
